subject,unit_number,unit_name,topic_id,topic_name,question_count,frequency_score,recency_score,final_score,label
Computer Networks,3,Network Layer and Routing,219,Distance Vector Routing,5,0.0267,0.0276,0.027,Medium
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",198,CRC Codes,5,0.0267,0.0255,0.0264,Medium
Computer Networks,3,Network Layer and Routing,212,Network Layer Design Issues,5,0.0267,0.0234,0.0257,Medium
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,203,CSMA,5,0.0267,0.0202,0.0248,Medium
Computer Networks,4,Internetworking and Transport Layer,231,ICMP,4,0.0214,0.0287,0.0236,Medium
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,202,ALOHA,4,0.0214,0.0266,0.0229,Medium
Computer Networks,5,Internet Transport Protocols and Application Layer,255,HTTP,4,0.0214,0.0255,0.0226,Medium
Computer Networks,5,Internet Transport Protocols and Application Layer,241,UDP and RPC,4,0.0214,0.0244,0.0223,Medium
Computer Networks,3,Network Layer and Routing,215,Routing Algorithms,4,0.0214,0.017,0.0201,Medium
Computer Networks,3,Network Layer and Routing,221,Hierarchical Routing,4,0.0214,0.0128,0.0188,Medium
Computer Networks,3,Network Layer and Routing,217,Shortest Path Routing,3,0.016,0.017,0.0163,Medium
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",189,Overview of the Internet,3,0.016,0.0149,0.0157,Medium
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,207,Data Link Layer Switching,2,0.0107,0.017,0.0126,Medium
Computer Networks,5,Internet Transport Protocols and Application Layer,252,Application Layer Introduction,2,0.0107,0.0159,0.0123,Medium
Computer Networks,4,Internetworking and Transport Layer,232,ARP,2,0.0107,0.0149,0.0119,Medium
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,211,"Repeaters, Hubs, Bridges, Switches, Routers and Gateways",2,0.0107,0.0117,0.011,Medium
Computer Networks,5,Internet Transport Protocols and Application Layer,246,TCP Connection Establishment,2,0.0107,0.0106,0.0107,Medium
Computer Networks,4,Internetworking and Transport Layer,238,Connection Establishment,2,0.0107,0.0096,0.0104,Medium
Computer Networks,3,Network Layer and Routing,218,Flooding,2,0.0107,0.0085,0.01,Low
Computer Networks,4,Internetworking and Transport Layer,227,IPv4 Protocol,2,0.0107,0.0085,0.01,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,249,TCP Sliding Window,2,0.0107,0.0085,0.01,Low
Computer Networks,3,Network Layer and Routing,214,Connectionless and Connection Oriented Networks,2,0.0107,0.0074,0.0097,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,247,TCP Connection Release,2,0.0107,0.0074,0.0097,Low
Computer Networks,3,Network Layer and Routing,216,Optimality Principle,2,0.0107,0.0064,0.0094,Low
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,204,Collision Free Protocols,2,0.0107,0.0053,0.0091,Low
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,205,Ethernet Physical Layer,2,0.0107,0.0053,0.0091,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,245,TCP Segment Header,2,0.0107,0.0053,0.0091,Low
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",193,"Internet History, Standards and Administration",2,0.0107,0.0032,0.0084,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,256,FTP,1,0.0053,0.0074,0.006,Low
Computer Networks,4,Internetworking and Transport Layer,226,Packet Fragmentation,1,0.0053,0.0064,0.0057,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,242,Real Time Transport Protocols,1,0.0053,0.0064,0.0057,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,244,TCP Service Model,1,0.0053,0.0064,0.0057,Low
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,201,Multi Access Protocols,1,0.0053,0.0043,0.005,Low
Computer Networks,3,Network Layer and Routing,220,Count to Infinity Problem,1,0.0053,0.0043,0.005,Low
Computer Networks,4,Internetworking and Transport Layer,224,Tunneling,1,0.0053,0.0043,0.005,Low
Computer Networks,4,Internetworking and Transport Layer,229,IP Addresses,1,0.0053,0.0043,0.005,Low
Computer Networks,4,Internetworking and Transport Layer,230,CIDR,1,0.0053,0.0043,0.005,Low
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,206,Ethernet MAC Sublayer,1,0.0053,0.0032,0.0047,Low
Computer Networks,4,Internetworking and Transport Layer,225,Internetwork Routing,1,0.0053,0.0032,0.0047,Low
Computer Networks,4,Internetworking and Transport Layer,228,IPv6 Protocol,1,0.0053,0.0032,0.0047,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,253,Application Layer Paradigms,1,0.0053,0.0032,0.0047,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,254,Client Server Model,1,0.0053,0.0032,0.0047,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,258,TELNET,1,0.0053,0.0032,0.0047,Low
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,208,Use of Bridges,1,0.0053,0.0021,0.0044,Low
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",199,Elementary Data Link Layer Protocols,1,0.0053,0.0011,0.0041,Low
Computer Networks,4,Internetworking and Transport Layer,237,Addressing,1,0.0053,0.0011,0.0041,Low
Computer Networks,4,Internetworking and Transport Layer,239,Connection Release,1,0.0053,0.0,0.0037,Low
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",190,Protocol Layering Scenario,0,0.0,0.0,0.0,Low
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",191,TCP/IP Protocol Suite,0,0.0,0.0,0.0,Low
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",192,The OSI Model,0,0.0,0.0,0.0,Low
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,209,Learning Bridges,0,0.0,0.0,0.0,Low
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,210,Spanning Tree Bridges,0,0.0,0.0,0.0,Low
